Name,Description,Net_Worth,Date_of_Birth,Gender,Height,Profession,Nationality,Sentiment
Rituparna Sengupta,"Rituparna Sengupta net worth: Rituparna Sengupta is an Indian film actress who has a net worth of $20 million dollars. Rituparna Sengupta was born in Kolkata, West Bengal, India, and began dancing, singing, painting, and crafts when she was a child. She went on to graduate from Lady Brabourne College with a degree in History, and then enrolled in the University of Calcutta to earn her Masters in History. However, her acting career became to busy, and she subsequently dropped out. Some of her projects include ""Dahan"", ""Swet Pathorer Thala"", ""Abujh Mon"", ""Moner Manush"", ""Attiya Sajan"", ""Sasurbari Zindabad"", ""Mondo Meyer Upakhyan"", ""Alo "", ""Dwitiya Basanta"", ""Batikrami"", ""Anuranan"", ""Mon Amour"", and ""Aaynate"", among others. In 2013, she made international headlines, when Canadian immigration officials allegedly detained and harassed her for six hours when she was entering the country for the premiere of her film, ""Mukti Dir Reshmi"", at a Canadian film festival.",$20 Million,"Nov 7, 1971 (48 years old)",Female,6 ft (1.85 m),Actor,India,Neutral
Mahesh Babu,"Mahesh Babu net worth: Mahesh Babu is an Indian film actor, who has a net worth of $30 million. Mahesh Babu, also known as Prince, is one of the reigning movie stars of Telugu cinema. Being a child of the Indian actor Krishna, Babu made his first appearance in front of the camera at the age of four in the 1979 movie Needa. However, his first lead role came a decade after, starring in the 1999 movie Rajakumarudu. The young rising actor managed to gain mass appeal and roles in successful movies, after he appeared in the shoes of the young Kabaddi player in the 2003 blockbuster film Okkadu. Ever since, Mahesh Babu has starred in 9 films as a child artist and in 17 films as a lead actor. These accomplishments make his actor's portfolio rich enough to be considered one of the most sought after actors in Telugu Cinema. Furthermore, he is a proud winner of seven Andhra Pradesh state Nandi Awards, three Filmfare Best Telugu Actor Awards, three CineMAA Awards and one South Indian International Movie Award. Not excluding the chance to earn some more recognitions for his most recent projects: Business Man (2012) and Seethamma Vakitlo Sirimalle Chettu (2013). Apart from playing roles in smash-hit movies and earning prestigious awards, he is also a national brand for Thums Up and an enthusiastic advocate of several brands in Andhra Pradesh and South India.",$30 Million,"Aug 9, 1975 (44 years old)",Male,6 ft 3 in (1.91 m),Actor,India,Neutral
Ajay Devgan,"Ajay Devgan net worth: Ajay Devgan is an Indian film actor, director, producer and stuntman who has a net worth of $30 million. In 1991, Ajay Devgan appeared on the silver screen for the first time with the release of Phool Aur Kaante, which was a huge hit. For this movie he received the Best Male Debut award at Filmfare. And then he was cast as the lead role in films like Jigar in 1992, Suhaag in 1994, Dilwale in 1994, Diljale in 1996, Naajayaz in 1995 and Ishq which was released in 1997.
In 1999, Ajay Devgan won the National Film Award as the best actor for the movie Zakhm which was produced and directed by Mahesh Bhatt. During the early part of the 2000s Ajay Devgan appeared in movies like Lajja, and Company. Again he won the National Film Award as the best actor with the release of Bhagat Singh, which was directed by Rajkumar Santoshi. During his career, Ajay Devgan has released many commercially and critically successful movies including Yuva in 2004, Raincoat in 2004, Omkara in 2006, Rajneeti in 2010, and Singham in 2011. His latest movies are Son of Sardar and Bol Bacahn and both of them were released in 2012. As a film director, he debuted with U Me Aur Hum which received a moderate amount of success at the box office.",$30 Million,"Apr 2, 1969 (51 years old)",Male,5 ft 8 in (1.75 m),"Actor, Film Producer, Film director",India,Neutral
Twinkle Khanna,"Twinkle Khanna net worth: Twinkle Khanna is an Indian actress who has a net worth of $30 million dollars. She has acted in films for both Bollywood and Telugu films and is the daughter of established actors, Dimple Kapadia and the late Rajesh Khanna. She made her debut opposite Bobby Deol in the film, 
 in 1995. The film did well at the box office, and Khanna received the Filmfare Best Debut Award for her performance. After an eye surgery for a slight cross-eye condition, Khanna went on to do many films and was well received for her work. Her notable film roles include the girl next door in 
with Salman Khan, the undercover spy along with Shahrukh Khan in 
, and the village belle in 
 with Aamir Khan. She left the film industry in 2001, and in 2002, opened her own interior design store in Crawford Market, Mumbai called 
, in partnership with her longtime friend, Gurlein Manchanda. Since then, the store has achieved great success and has received a prestigious Elle Decor International Design Award (from Indian edition of Elle Decor magazine). She has opened up another branch of the store elsewhere in Mumbai and plans to expand throughout India. She married famous Bollywod actor, Akshay Kumar, and together they have a son, Aarav Bhatia and a daughter, Nitara Khanna Bhatia.",$30 Million,"Dec 29, 1974 (45 years old)",Female,5 ft 4 in (1.63 m),"Actor, Interior designer, Film Producer",India,Neutral
Suriya," Suriya is an Indian actor, producer, and television presenter who has a net worth of $25 million. Suriya was born in Coimatore, Tamil Nadu, India in July 1975. He currently works in the Tamil film industry. Suriya debuted in 1997 in the film Nerukku Ner. He has since starred in many films such as Nandha, Kaakha Kaakha, Peazhagan, Ghajini, Vaaranam Aayiram, Ayan, Singam, Singam II, and Massu Engira Masilamani. Suriya has won three Filmfare Awards South and three Tamil Nadu State Film Awards. In 2013 he was ranked #33 on Forbes India's Celebrity 100 List. His brother Karthi is an actor and his father is actor Sivakumar. Suriya married fellow actress Jyothika in 2006. He started the charitable Agaram Foundation in 2008 and in 2012 Suriya started to host the Tamil version of Who Wants to Be a Millionaire?. He is also a producer who has his own studio 2D Entertainment.",$25 Million,"Jul 23, 1975 (44 years old)",Male,5 ft 5 in (1.67 m),"Actor, Presenter, Film Producer",India,Neutral
Abhishek Bachchan," Abhishek Bachchan is an Indian film actor and producer who has a net worth of $30 million. Abhishek Bachchan is the son of 
 and actress Jaya Bachchan and made his acting debut with the 2000 drama Refugee. He turned into a fully-fledged film star after featuring in the 2004 action thriller Dhoom, which was a true commercial success. He received critical appreciation for his performance in Yuva (2004), Sarkar (2005), Kabhi Alvida Naa Kehna (2006) and Guru (2007). Then he starred in commercially successful films like Bunty Aur Babli (2005), Kabhi Alvida Naa Kehna (2006), Guru (2007) and Bol Bachchan (2012), as well as the Dhoom series. He again took the role of a producer along with Sunil Manchanda for the 2009 movie Paa, which garnered the National Film Award for Best Feature Film in Hindi. All in all, Bachchan has won three Filmfare Awards for acting, and a National Award as a producer of Paa. Also, he was declared as one of the highest paid Bollywood actors in 2010. In his off-screen life he plays the role of a devoted husband and father. He married to the actress and former Miss World Aishwarya Rai on April 20th 2007 in a private ceremony at the Bachchan residence. The two have been dubbed as ""supercouple"" in the Indian media. Eventually, their love was blessed with a baby girl who was born on November 16th 2011.",$30 Million,"Feb 5, 1976 (44 years old)",Male,6 ft (1.85 m),"Actor, Presenter, Businessperson, Singer, Playback Singer, Film Producer",India,Neutral
Madhuri Dixit," Madhuri Dixit is an Indian actress who has a net worth of $35 million. Madhuri Dixit was born in Mumbai, Maharashtra, India in May 1967. She is best known for her work in Hindi cinema and was a leading Bollywood actress from the 1980s to the early 2000s. She is known for her physical beauty and her acting and dancing skills. Dixit has won six Filmfare Awards including four for Best Actress and one for Best Supporting Actress. She set a record by being nominated for the Filmfare Award for Best Actress 14 times. Dixit was awarded India's fourth highest civilian award, the Padma Shri, by the Government of India. In addition to being an actress she has served as a judge on the reality dancing television series Jhalak Dikhhla Jaa. She was named a UNICEF Goodwill Ambassador in India in 2014. In May 2015 Dixit was charged with false representation for her advertisements of the noodle brand Maggi which were found with toxic levels of lead.",$35 Million,"May 15, 1967 (52 years old)",Female,5 ft 4 in (1.63 m),Actor,United States of America,Neutral
Rajkumar Kohli,"Rajkumar Kohli Net Worth: Rajkumar Kohli is an Indian film director who has a net worth of $20 million. Born on 14 September 1930, in Lahore, British India, Kohli entered the limelight for directing several blockbusting Bollywood films in the 1970s and 1980s. To date, Kohli's most popular features include Nagin (1976), Jaani Dushman (1979), Naukar Biwi Ka and Raaj Tilak (1984). The above, just as the rest of his productions, have frequently featured prominent Bollywood actors like Sunil Dutt, Dharmendra, Jeetendra, Shatrughan Sinha and such actresses as Reena Roy and Rekha. Rajkumar Kohli has officially stopped directing in 2002. Today, he is married to Nishi, a Punjabi actress, with whom he has two children. The couple lives in Union Park, Chembur.",$20 Million,"Sep 14, 1930 (89 years old)",Male,,"Film director, Film Producer",India,Neutral
Arshad Warsi,"Arshad Warsi net worth and salary: Arshad Warsi is an Indian film actor, dancer, and choreographer who has a net worth of $40 million dollars. Arshad Warsi was born in Mumbai, India on April 19, 1968. By age 14, he was orphaned and struggled for a living. He began working as a door-to-door cosmetics salesman. After receiving an offer to join Akbar Sami's Dance group, he pursued his dancing career. By the age of 21, he had won an Indian dance competition and fourth prize in a World Dance championship. He went on to start his own dance studio named Awesome. Warsi choreographed the title track of the film Roop Ki Rani Choron K Raja in 1993. As an actor, he starred in the comedy film Munnabhai MBBS in 2003. He has appeared in several films as a supporting actor such as Maine Pyaar Kyun Kiya, Salaam Namaste and Golmaal Returns. Between 2007-2010, Warsi was in several box office successes in movies like F.A.L.T.U, Zila Ghaziabad and Jolly LLB. Munnabhai Chale Delhi his the third Munnabhai sequel in which he is currently working on. Hum Tum Aur Ghost was his first film as a producer. On television, he was the host of Season 1Bigg Boss, the Indian version of Big Brother, and was a co-host of the dance show Razzmatazz. Warsi has been married to Maria Goretti since 1999. The couple have a son, Zeke and daughter, Zene together.",$40 Million,"Apr 19, 1968 (52 years old)",Male,5 ft 4 in (1.65 m),"Actor, Singer, Presenter, Film Producer, Choreographer",India,Neutral
Ranbir Kapoor,"Ranbir Kapoor net worth: Ranbir Kapoor is an Indian actor who has a net worth of $50 million. Ranbir Kapoor is one of the descendants of the highly prestigious and the very first family of Hindu film industry: the Kapoor Family. Belonging to the fourth generation of this eminent Bollywood family, Kapoor embarked on his movie career as an assistant to the film director Sanjay Leela Bhansali in 2005 on the production of the film Black (2005). As for his acting career, it was startled with his debut in the film Saawariya, which was not a big hit but still earned him a nod from critics. Kapoor acquired much more critical praise for his three notable performances throughout 2009 in the following movies: Wake Up Sid (big commercial success), Ajab Prem Ki Ghazab Kahani (big grosser of the year), and Rocket Singh: Salesman of the Year (moderate box office success). All these performances didn't go unnoticed. They made Kapoor win the Filmfare Critics Award for Best Actor and set a solid ground for new recognitions as the one for his role as an aspiring politician in the political thriller Raajneeti in 2010. While in 2012, he received the Filmfare Award for Best Actor for his portrayal of Jordan in the Imtiaz Ali-directed drama Rockstar and for his depiction of a deaf-mute man in Barfi! If we add his charisma, handsomeness, incredible dancing skills and incredible versatility to his bright acting career, he has all the prerequisites to become the next Bollywood superstar.  Kapoor co-founded Picture Shuru Productions and co-owns the team Mumbai City FC of the Indian Super League.",$50 Million,"Sep 28, 1982 (37 years old)",Male,6 ft (1.83 m),Actor,India,Neutral
